6
673
id	astId	startLong	startLat	endLong	endLat
string	int	float	float	float	float
astline_42_6	42	133.84833	5.9455600000000004	138.59125	2.3141699999999998
astline_42_7	42	138.59125	2.3141699999999998	142.99542	-1.1850000000000001
astline_42_8	42	142.99542	-1.1850000000000001	142.35208	-2.2052800000000001
astline_42_9	42	142.35208	-2.2052800000000001	141.82667000000001	-22.343889999999998
astline_42_10	42	141.82667000000001	-22.343889999999998	147.86958000000001	-14.84667
astline_42_11	42	147.86958000000001	-14.84667	152.64707999999999	-12.35417
astline_42_12	42	152.64707999999999	-12.35417	156.52250000000001	-16.836390000000002
astline_42_13	42	156.52250000000001	-16.836390000000002	162.40625	-16.19361
astline_42_14	42	162.40625	-16.19361	173.25041999999999	-31.857780000000002
astline_42_15	42	173.25041999999999	-31.857780000000002	178.22749999999999	-33.908059999999999
astline_42_16	42	178.22749999999999	-33.908059999999999	197.26374999999999	-23.11806
astline_42_17	42	197.26374999999999	-23.11806	199.73042000000001	-23.171669999999999
astline_43_0	43	6.4379200000000001	-77.254170000000002	56.809579999999997	-74.238889999999998
astline_43_1	43	56.809579999999997	-74.238889999999998	39.897500000000001	-68.266940000000005
astline_43_2	43	39.897500000000001	-68.266940000000005	35.437080000000002	-68.659440000000004
astline_43_3	43	35.437080000000002	-68.659440000000004	29.692499999999999	-61.569719999999997
astline_44_0	44	319.96667000000002	-53.449719999999999	309.39166999999998	-47.29139
astline_44_1	44	309.39166999999998	-47.29139	313.70249999999999	-58.454169999999998
astline_44_2	44	313.70249999999999	-58.454169999999998	319.96667000000002	-53.449719999999999
astline_45_0	45	333.99250000000001	37.748890000000003	337.62207999999998	43.123330000000003
astline_45_1	45	337.62207999999998	43.123330000000003	337.38249999999999	47.706940000000003
astline_45_2	45	337.38249999999999	47.706940000000003	336.12916999999999	49.476390000000002
astline_45_3	45	336.12916999999999	49.476390000000002	335.89	52.229170000000003
astline_45_4	45	335.89	52.229170000000003	337.82292000000001	50.282499999999999
astline_45_5	45	337.82292000000001	50.282499999999999	337.38249999999999	47.706940000000003
astline_46_0	46	177.26499999999999	14.57194	168.56	15.42944
astline_46_1	46	168.56	15.42944	152.09291999999999	11.967219999999999
